Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,x,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
29610510,1/1/15 0:00,1/2/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10451,825 GERARD AVENUE,GERARD AVENUE,EAST 157 STREET,EAST 158 STREET,,,ADDRESS,BRONX,,N/A,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,1/2/15 0:00,04 BRONX,2024830015,BRONX,"1,004,793","240,258",PHONE,Unspecified,BRONX,,,,,,,,40.82610434,-73.92577224,"(40.826104344727696, -73.92577224178703)"
29611199,1/1/15 0:00,1/6/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11358,43-28 158 STREET,158 STREET,43 AVENUE,45 AVENUE,,,ADDRESS,Flushing,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",1/6/15 0:00,07 QUEENS,4054150149,QUEENS,"1,037,440","215,732",PHONE,Unspecified,QUEENS,,,,,,,,40.75865099,-73.80800375,"(40.75865099090283, -73.80800375437036)"
29611201,1/1/15 0:00,1/3/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11209,9511 SHORE ROAD,SHORE ROAD,95 STREET,96 STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,1/3/15 0:00,10 BROOKLYN,3061207502,BROOKLYN,"973,626","163,839",MOBILE,Unspecified,BROOKLYN,,,,,,,,40.61637027,-74.03826694,"(40.61637026983262, -74.03826694457253)"
29611328,1/1/15 0:00,1/4/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11221,558 LEXINGTON AVENUE,LEXINGTON AVENUE,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",1/4/15 0:00,03 BROOKLYN,3016240025,BROOKLYN,"1,001,478","190,365",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68916796,-73.93787813,"(40.6891679550618, -73.9378781329754)"
29611398,1/1/15 0:00,1/2/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11414,153-25 88 STREET,88 STREET,153 AVENUE,155 AVENUE,,,ADDRESS,Howard Beach,,N/A,Closed,,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",1/2/15 0:00,10 QUEENS,4114340075,QUEENS,"1,026,505","182,093",PHONE,Unspecified,QUEENS,,,,,,,,40.66637912,-73.84768611,"(40.6663791192054, -73.84768610600199)"
29612156,1/1/15 0:00,1/3/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10473,1965 LAFAYETTE AVENUE,LAFAYETTE AVENUE,NEWMAN AVENUE,PUGSLEY AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,1/3/15 0:00,09 BRONX,2036720001,BRONX,"1,023,858","238,861",PHONE,Unspecified,BRONX,,,,,,,,40.82220506,-73.85689326,"(40.82220506426356, -73.85689326155203)"
29612619,1/1/15 0:00,2/1/15 0:00,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10453,1777 GRAND CONCOURSE,GRAND CONCOURSE,MORRIS AVENUE,EAST 175 STREET,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,2/1/15 0:00,05 BRONX,2028260062,BRONX,"1,009,316","247,668",PHONE,Unspecified,BRONX,,,,,,,,40.84643096,-73.90940166,"(40.84643096164128, -73.90940166279462)"
29612926,1/1/15 0:00,1/3/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10459,1054 SOUTHERN BOULEVARD,SOUTHERN BOULEVARD,ALDUS STREET,WESTCHESTER AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,1/3/15 0:00,02 BRONX,2027430019,BRONX,"1,014,171","239,626",ONLINE,Unspecified,BRONX,,,,,,,,40.8243429,-73.89188968,"(40.824342895821275, -73.89188968213699)"
29613091,1/1/15 0:00,1/3/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11209,9511 SHORE ROAD,SHORE ROAD,95 STREET,96 STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,1/3/15 0:00,10 BROOKLYN,3061207502,BROOKLYN,"973,626","163,839",MOBILE,Unspecified,BROOKLYN,,,,,,,,40.61637027,-74.03826694,"(40.61637026983262, -74.03826694457253)"
29613642,1/1/15 0:00,1/3/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11209,9511 SHORE ROAD,SHORE ROAD,95 STREET,96 STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,1/3/15 0:00,10 BROOKLYN,3061207502,BROOKLYN,"973,626","163,839",MOBILE,Unspecified,BROOKLYN,,,,,,,,40.61637027,-74.03826694,"(40.61637026983262, -74.03826694457253)"
29613697,1/1/15 0:00,1/2/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11205,554 DE KALB AVENUE,DE KALB AVENUE,SPENCER COURT,WALWORTH STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,1/2/15 0:00,03 BROOKLYN,3017780038,BROOKLYN,"996,915","191,039",PHONE,Unspecified,BROOKLYN,,,,,,,,40.69102564,-73.95433043,"(40.6910256353927, -73.95433043093576)"
29613839,1/1/15 0:00,1/7/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10031,676 RIVERSIDE DRIVE,RIVERSIDE DRIVE,WEST 144 STREET,WEST 145 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",1/7/15 0:00,09 MANHATTAN,1020910048,MANHATTAN,"997,487","240,524",PHONE,Unspecified,MANHATTAN,,,,,,,,40.82684841,-73.95217039,"(40.826848409558046, -73.95217038631736)"
29613871,1/1/15 0:00,1/6/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11230,1439 OCEAN AVENUE,OCEAN AVENUE,AVENUE I,AVENUE J,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",1/6/15 0:00,14 BROOKLYN,3075840019,BROOKLYN,"996,290","167,717",PHONE,Unspecified,BROOKLYN,,,,,,,,40.62701276,-73.9566258,"(40.62701275833746, -73.95662580149565)"
29613947,1/1/15 0:00,1/14/15 0:00,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10452,1140 ANDERSON AVENUE,ANDERSON AVENUE,WEST 166 STREET,WEST 167 STREET,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,1/14/15 0:00,04 BRONX,2025050050,BRONX,"1,005,103","243,703",PHONE,Unspecified,BRONX,,,,,,,,40.83555915,-73.92464141,"(40.83555915148003, -73.92464141468346)"
29613948,1/1/15 0:00,1/6/15 0:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,1-2 Family Dwelling,11420,114-39 128 STREET,128 STREET,LINDEN BOULEVARD,115 AVENUE,,,ADDRESS,South Ozone Park,,N/A,Closed,1/31/15 21:58,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,1/6/15 0:00,10 QUEENS,4116550047,QUEENS,"1,036,341","187,174",PHONE,Unspecified,QUEENS,,,,,,,,40.68027288,-73.81219174,"(40.680272884035496, -73.81219173712991)"
29613953,1/1/15 0:00,1/20/15 0:00,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10453,2255 MORRIS AVENUE,MORRIS AVENUE,EAST 182 STREET,EAST 183 STREET,,,ADDRESS,BRONX,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",1/20/15 0:00,05 BRONX,2031820045,BRONX,"1,011,242","251,634",PHONE,Unspecified,BRONX,,,,,,,,40.85731077,-73.90242438,"(40.85731077042864, -73.90242438276432)"
29613954,1/1/15 0:00,1/22/15 0:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10025,3 WEST 108TH STREET,WEST 108TH STREET,,,,,LATLONG,NEW YORK,,N/A,Closed,1/31/15 23:25,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,1/22/15 0:00,Unspecified MANHATTAN,,MANHATTAN,"995,468","230,651",MOBILE,Unspecified,MANHATTAN,,,,,,,,40.79975258,-73.95948219,"(40.79975257654321, -73.9594821940981)"
29613957,1/1/15 0:00,2/4/15 0:00,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10468,2285 SEDGWICK AVENUE,SEDGWICK AVENUE,WEST 183 STREET,BEND,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2/4/15 0:00,07 BRONX,2032340049,BRONX,"1,009,217","253,170",PHONE,Unspecified,BRONX,,,,,,,,40.86153259,-73.909739,"(40.861532585666495, -73.90973899619243)"
29614039,1/1/15 0:00,1/2/15 0:00,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10035,117 EAST 118 STREET,EAST 118 STREET,PARK AVENUE,LEXINGTON AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,1/31/15 14:23,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,1/2/15 0:00,11 MANHATTAN,1017670005,MANHATTAN,"1,000,445","230,851",PHONE,Unspecified,MANHATTAN,,,,,,,,40.8002938,-73.94150551,"(40.80029380152135, -73.94150550658483)"
29614040,1/1/15 0:00,1/9/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11385,78-37 64 PLACE,64 PLACE,78 AVENUE,80 AVENUE,,,ADDRESS,Ridgewood,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,1/9/15 0:00,05 QUEENS,4037200047,QUEENS,"1,014,562","193,266",ONLINE,Unspecified,QUEENS,,,,,,,,40.69709538,-73.89068596,"(40.697095383514586, -73.89068596090978)"
29614042,1/1/15 0:00,1/14/15 0:00,HPD,Department of Housing Preservation and Development,PLUMBING,BOILER,RESIDENTIAL BUILDING,11377,72-10 41 AVENUE,41 AVENUE,72 STREET,73 STREET,,,ADDRESS,Woodside,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,1/14/15 0:00,04 QUEENS,4013120010,QUEENS,"1,013,908","210,718",PHONE,Unspecified,QUEENS,,,,,,,,40.74499909,-73.89296758,"(40.74499909172425, -73.89296757512533)"
29614048,1/1/15 0:00,1/5/15 0:00,HPD,Department of Housing Preservation and Development,PLUMBING,STEAM PIPE/RISER,RESIDENTIAL BUILDING,10032,128 AUDUBON AVENUE,AUDUBON AVENUE,WEST 171 STREET,WEST 172 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",1/5/15 0:00,12 MANHATTAN,1021280015,MANHATTAN,"1,001,738","246,283",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.8426478,-73.93679512,"(40.8426478040345, -73.93679512195254)"
29614112,1/1/15 0:00,4/1/15 0:00,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,11418,86-48 122 STREET,122 STREET,HILLSIDE AVENUE, ,,,ADDRESS,Richmond Hill,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,4/1/15 0:00,09 QUEENS,4092750061,QUEENS,"1,031,796","194,826",PHONE,Unspecified,QUEENS,,,,,,,,40.7013014,-73.82852418,"(40.70130139967294, -73.82852417582396)"
29614118,1/1/15 0:00,1/5/15 0:00,HPD,Department of Housing Preservation and Development,PLUMBING,RADIATOR,RESIDENTIAL BUILDING,10468,2381 GRAND CONCOURSE,GRAND CONCOURSE,EAST 184 STREET,EAST 187 STREET,,,ADDRESS,BRONX,,N/A,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",1/5/15 0:00,05 BRONX,2031650063,BRONX,"1,012,248","252,406",PHONE,Unspecified,BRONX,,,,,,,,40.85942654,-73.89878449,"(40.85942654447833, -73.89878448855914)"
29614120,1/1/15 0:00,1/19/15 0:00,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10458,2490 TIEBOUT AVENUE,TIEBOUT AVENUE,EAST 188 STREET,EAST FORDHAM ROAD,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,1/19/15 0:00,05 BRONX,2030230012,BRONX,"1,013,300","253,224",PHONE,Unspecified,BRONX,,,,,,,,40.86166831,-73.89497786,"(40.86166830768844, -73.89497786374334)"
29614123,1/1/15 0:00,1/8/15 0:00,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10034,506 WEST 213 STREET,WEST 213 STREET,10 AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,1/8/15 0:00,12 MANHATTAN,1022300015,MANHATTAN,"1,007,366","255,658",PHONE,Unspecified,MANHATTAN,,,,,,,,40.86836643,-73.91642217,"(40.86836642930603, -73.9164221678853)"
29614124,1/1/15 0:00,3/26/15 0:00,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10468,2385 CRESTON AVENUE,CRESTON AVENUE,EAST 184 STREET,EAST 188 STREET,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,3/26/15 0:00,05 BRONX,2031730054,BRONX,"1,012,032","252,667",PHONE,Unspecified,BRONX,,,,,,,,40.86014359,-73.89956427,"(40.86014359293531, -73.8995642671938)"
29614128,1/1/15 0:00,3/10/15 0:00,HPD,Department of Housing Preservation and Development,SAFETY,CARBON MONOXIDE DETECTOR,RESIDENTIAL BUILDING,10468,2385 CRESTON AVENUE,CRESTON AVENUE,EAST 184 STREET,EAST 188 STREET,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,3/10/15 0:00,05 BRONX,2031730054,BRONX,"1,012,032","252,667",PHONE,Unspecified,BRONX,,,,,,,,40.86014359,-73.89956427,"(40.86014359293531, -73.8995642671938)"
29614131,1/1/15 0:00,,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10025,107 WEST 105 STREET,WEST 105 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,,,ADDRESS,NEW YORK,,N/A,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,1/1/15 0:00,07 MANHATTAN,1018600027,MANHATTAN,"994,244","230,304",PHONE,Unspecified,MANHATTAN,,,,,,,,40.79880163,-73.96390362,"(40.798801625435665, -73.96390362234443)"
29614133,1/1/15 0:00,2/8/15 0:00,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10460,520 MORRIS PARK AVENUE,MORRIS PARK AVENUE,ADAMS STREET,VAN BUREN STREET,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2/8/15 0:00,11 BRONX,2040160009,BRONX,"1,019,738","246,153",PHONE,Unspecified,BRONX,,,,,,,,40.842237,-73.87174054,"(40.84223699939234, -73.87174053821302)"
29614134,1/1/15 0:00,1/31/15 0:00,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11211,456 GRAND STREET,GRAND STREET,KEAP STREET,GRAND STREET EXTENSION,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,1/31/15 0:00,01 BROOKLYN,3023990001,BROOKLYN,"997,393","198,399",PHONE,Unspecified,BROOKLYN,,,,,,,,40.71122641,-73.95259242,"(40.711226412656714, -73.9525924157633)"
29614135,1/1/15 0:00,1/6/15 0:00,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11216,802 PARK PLACE,PARK PLACE,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,1/6/15 0:00,08 BROOKLYN,3012400026,BROOKLYN,"997,769","184,644",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67347156,-73.95126377,"(40.67347155508807, -73.95126376585112)"
